Code,Number,Team,Weight,Color,Bike,Race Start,Brake Limit,Cornering,Traction Control,Passing,Grip Control,Consistence,Rain,Qualifying
MQUI,28,CFMOTO Gaviota Aspar Team,53,#00A7B5,KTM,,,,,,,,,
MMOR,97,CFMOTO Gaviota Aspar Team,,#00A7B5,KTM,,,,,,,,,
ACRU,11,CIP Green Power,61,#4CAF50,KTM,,,,,,,,,
SOGD,19,CIP Green Power,58,#4CAF50,KTM,,,,,,,,,
CBUC,14,CODE Motorsports,59,#333333,KTM,,,,,,,,,
RMOO,21,CODE Motorsports,58,#333333,KTM,,,,,,,,,
RYAM,6,AEON Credit - MT Helmets - MSI,55,#D71920,KTM,,,,,,,,,
HDAN,13,AEON Credit - MT Helmets - MSI,43,#D71920,KTM,,,,,,,,,
VPRA,9,Honda Team Asia,47,#E31B23,Honda,,,,,,,,,
ZMIT,32,Honda Team Asia,50,#E31B23,Honda,,,,,,,,,
GPIN,94,Leopard Racing,,#2E5AAC,Honda,,,,,,,,,
AFER,31,Leopard Racing,59,#2E5AAC,Honda,,,,,,,,,
JEST,78,LEVELUP - MTA,56,#F28C28,KTM,,,,,,,,,
MBER,18,LEVELUP - MTA,56,#F28C28,KTM,,,,,,,,,
DMUN,64,Liqui Moly Dynavolt Intact GP,58,#2B4B9B,KTM,,,,,,,,,
DALM,22,Liqui Moly Dynavolt Intact GP,53,#2B4B9B,KTM,,,,,,,,,
ACAR,83,Red Bull KTM Ajo,55,#F36C21,KTM,,,,,,,,,
BURI,51,Red Bull KTM Ajo,58,#F36C21,KTM,,,,,,,,,
VPER,73,Red Bull KTM Tech3,55,#F36C21,KTM,,,,,,,,,
RSAL,27,Red Bull KTM Tech3,,#F36C21,KTM,,,,,,,,,
COGO,67,SIC58 Squadra Corse,61,#E31B23,Honda,,,,,,,,,
LRAM,5,SIC58 Squadra Corse,,#E31B23,Honda,,,,,,,,,
JRIO,54,Rivacold Snipers Team,,#555555,Honda,,,,,,,,,
NCAR,10,Rivacold Snipers Team,62,#555555,Honda,,,,,,,,,
JKEL,66,GRYD - Mlav Racing,57,#1E3A5F,Honda,,,,,,,,,
EOSH,8,GRYD - Mlav Racing,55,#1E3A5F,Honda,,,,,,,,,
